ID,No of employee,Annual turnover,TCTC,Basic Salary,Cash Injection,Contrib Waiver,Affected Employee
1333,27,8119025,114056.1,106820.76,0,1,1
1334,5,59400,4950,4950,1,1,1
1335,50,725813,3800,3000,1,1,1
1336,4,48000,3500,4000,1,1,1
1337,1,4000,2623000,22630,1,1,1
1338,12,800000,295200,24600,1,1,1
1339,2,7200000,93000,69000,1,0,1
1340,15,685000,410400,0,1,1,1
1341,26,100000,36000,36000,1,0,1
1342,5,300000,22000,22000,1,1,0
1343,3,2107009,617482,543840,1,1,1
1344,1,90000,15600,15600,0,1,1
1345,1,30000,24000,2000,1,1,1
1346,2,25il,76262,63667.032,0,0,1
1347,3,2760000,230000,2300,1,1,1
1348,1,0,yes,1000,1,0,0
1349,35,78000,3869.75,3869.75,1,1,1
1350,8,1641001,40042,47700,1,1,1
1351,1,84MIL,351677.61,317251.53,1,1,0
1352,2,48000,4000,4000,0,0,1
1353,5,8771874,1363331.46,91910.94,1,1,1
1354,1,20851414,306288.75,190844.34,1,0,1
1355,1,600000,6500,1800,1,1,1
1356,1,115000,93000,93000,1,1,1
1357,56,10illion,0,165075,1,1,1
1358,1,0,9500,9500,1,1,1
1359,23,0,38400,3200,1,1,1
1360,32,0,0,0,0,0,1
1361,1,24000,12000,2000,1,1,1
1362,6,3600,146,300,1,1,1
1363,2,0-30000,669.6,5000,0,0,1
1364,14,450000,16000,15600,1,0,1
1365,26,30000,30000,2500,1,1,1
1366,3,360000,7300,42000,1,1,1
1367,31,1212000,65600,65600,1,1,1
1368,6,7Million,192944.18,189939.69,1,1,1
1369,2,30000,0,2400,1,1,1
1370,5,65k,0,17000,1,1,1
1371,15,96000,15000,8000,0,0,1
1372,1,240000000,7979739.44,3418660.68,1,0,0
1373,9,300000,0,14000,0,1,0
1374,4,1100000,12400,12400,1,0,1
1375,1,87847,8320,8320,1,1,1
1376,1,3500000,36000,34000,0,1,1
1377,5,50000,100000,500,1,1,1
1378,1,30000,0,2500,1,1,1
1379,99,150000,30000,30000,1,1,1
1380,1,2238996,186583,2370498,1,1,1
1381,2,400000,3800,3800,0,1,1
1382,7,60000,48000,3692.3,0,0,0
1383,15,8000,4000,4000,0,1,1
1384,11,85000,22000,2500,1,1,0
1385,7,1Million,140000,50000,1,1,1
1386,5,0,6000.00erannu,500,0,0,1
1387,2,13920,13920,13920,1,1,1
1388,2,3500000,122744.93,97077.48,1,0,1
1389,1,225000,3000,2946,1,1,1
1390,2,332150,13200,13200,0,0,1
1391,114,10462819.41,657262.61,550710.91,1,1,1
1392,29,58720,17200,9700,1,1,1
1393,16,100000,48000,3692.3,0,0,1
1394,12,5000,1700,1700,1,0,0
1395,1,n/a,n/a,n/a,0,1,0
1396,10,80000,0,14400,1,1,1
1397,6,120,0,0,1,1,1
1398,5,12000,12883,13000,0,0,1
1399,2,5665457,50955-00,50955,1,1,1
1400,1,-300000,0,4000,1,1,1
1401,21,194.4,0,900,1,1,1
1402,1,602498,61734,61734,1,1,1
1403,88,9630000,1868641.38,1839788.31,1,0,1
1404,15,57033166.08,261850.13,219437.29,1,0,0
1405,2,156000,12000,12000,1,1,1
1406,1,48000,48000,4000,1,1,1
1407,1,/A,0,0,1,0,0
1408,3,14113841.65,4679610.51,3553737.07,1,0,1
1409,1,0,0,2000,0,1,0
1410,8,1000000,0,3000,1,0,1
1411,1,1.5Million,105826.79,104500,1,1,1
1412,1,2409396,200783,2370498.7,1,1,1
1413,231,649363.08,54113.59,40531.44,1,1,1
1414,50,12000,10500,10500,1,1,1
1415,31,300000,400,2950,1,1,1
1416,9,26270804,852771.16,152976.16,0,0,1
1417,5,3019080.22,31098.54,32000,1,1,1
1418,6,156000,13000,13000,0,0,1
1419,3,0,3600,3600,1,1,1
1420,1,2400000,18700,12800,1,1,1
1421,1,EWCOMPAY-OTUROVERYET,53000,28000,1,1,1
1422,1,48000,/A,4000,1,1,1
1423,56,30000,70,1000,1,0,1
1424,1,1310283,45022.68,40665.92,0,0,1
1425,1,450000,105570,102600,1,1,1
1426,2,300000,8900,8900,0,1,1
1427,2,100000,12000,12000,1,1,1
1428,1,0,0,281563.38,1,1,1
1429,1,2160000,29400,6400,1,0,0
1430,13,2400000,30000,20000,1,1,1
1431,12,120000,30000,20000,1,1,1
1432,16,10114085,160419.8,102035.24,1,1,1
1433,2,3144455,100243.52,100243.52,1,1,1
1434,9,110000000,1000509.15,704800,1,1,0
1435,1,50000,15000,15000,0,0,1
1436,6,4200,400,900,1,1,1
1437,1,48000,12000,12000,1,1,1
1438,1,30000,0,300,1,1,1
1439,1,48584,9000,108000,1,0,1
1440,1,85000,18000,1000,1,1,1
1441,1,50000,18500,36000,1,1,1
1442,11,45000,15000,15000,1,1,1
1443,3,0,664171.41,544924.71,1,1,1
1444,14,4164318.1,5500,5090.15,1,0,0
1445,1,/A,1500,1500,1,1,1
1446,1,0,0,1200,1,1,1
1447,13,42000,61,3500,1,1,1
1448,4,50000,4000,1200,1,0,1
1449,1,300000,25000,25000,1,0,0
1450,1,60000,15000,5000,0,0,1
1451,1,50.000.00,6000,5000,1,0,1
1452,72,EWBUSIESS,102000,110000,1,0,1
1453,35,36000,4000,4000,1,1,1
1454,3,150000,3000,3000,0,1,1
1455,6,993.6,42'200,4'600.00,1,1,1
1456,8,n/a,36000,n/a,1,1,1
1457,7,60000,3500,6000,0,0,1
1458,2,100000,7500,7500,1,1,1
1459,2,300000,3000,3000,1,1,1
1460,8,5400000,13185,12000,1,1,1
1461,5,1716000-00,338948,34727.05,0,0,1
1462,1,0,0,0,0,1,1
1463,28,6823967,0,0,1,1,1
1464,6,978211,17300,20300,1,1,1
1465,13,3265000,0,17950,0,0,1
1466,2,120000,0,10000,1,1,1
1467,5,120000,0,10000,0,1,0
1468,1,3600,0,300,1,1,1
1469,1,46800-00,0,3900,1,1,1
1470,1,73.92,4000,2000,1,0,0
1471,70,/A,4200,1400,1,0,0
1472,16,90000,360000,30000,1,0,1
1473,1,0,0,0,1,1,1
1474,6,1200000,124650,124650,0,1,1
1475,2,144000,8002,10300,1,1,1
1476,5,34il,0,280000,0,0,1
1477,1,56000,12000,12000,1,1,0
1478,3,9771585.932,237097.9,194363.58,1,0,1
1479,1,300000,7000,6500,1,1,1
1480,1,0,48000a,5500,1,0,1
1481,82,252000,21000,21000,1,1,0
1482,44,70Million,623221.97,512776.6,0,1,1
1483,6,480000,13500,13500,0,1,1
1484,2,0,64721.1,64380.49,0,0,1
1485,5,77976,6498,6498,1,1,1
1486,1,200000,/A,2660..,0,0,1
1487,45,-68387.16,0,20800,1,0,1
1488,51,0,0,0,0,0,1
1489,122,238753226,5421080.69,3433870.97,0,0,0
1490,12,65000,700,8400,1,0,1
1491,1,98750,2500,2500,0,0,0
1492,4,101786.02,67619.73,42571.838,0,1,1
1493,8,10000,1800.00/,1800,1,1,1
1494,1,2500000,45000,25252,1,0,1
1495,7,0,0,10800,1,1,1
1496,20,48000,0,4000,1,0,1
1497,16,0,0,0,1,1,1
1498,1,2illion,22750,2500,1,1,1
1499,5,300000,27500,7500,1,1,1
1500,2,11MILLIO,307683.2,212832.77,1,1,1
1501,2,6illion,320318,320318,1,1,0
1502,6,960000,75600,75600,1,1,1
1503,1,350000,18000,1500,1,1,1
1504,42,/A,0,17007.64,0,0,1
1505,3,10000,0,300,0,1,0
1506,3,905986,73200,73000,1,1,1
1507,1,445200,37100,37100,1,1,1
1508,3,0,0,0,1,0,1
1509,2,450000,0,47388.9,1,1,1
1510,1,3495000,248002.31,248002.31,0,0,1
1511,1,0,0,3684,1,0,1
1512,2,400000,11000,11000,1,0,1
1513,8,0,0,0,1,1,1
1514,4,620000,1200,1200,1,1,1
1515,4,13957710,165000,165000,1,0,1
1516,7,0,0,0,1,1,1
1517,5,50000,/A,3400,1,1,1
1518,8,1.4il,0,0,1,1,1
1519,7,220249,7659,7659,0,0,1
1520,4,47000,0,0,1,0,1
1521,1,12,0,8400,1,1,1
1522,6,5273398.37,201969.77,182593.57,0,0,1
1523,1,1700000,150000,125000,1,1,1
1524,2,YES,1500,1500,0,0,1
1525,2,0,12000,12000,0,0,1
1526,1,1200000,21400,17000,1,1,1
1527,14,DEPEDIGOTEDER/WORK,0,500,0,0,1
1528,3,2582847.61,3500,3500,0,0,1
1529,3,4254974,21051,21051,1,1,1
1530,13,23000000,714184.52,695000,1,1,1
1531,2,0,0,0,0,0,1
1532,6,0,89668.89,72576.33,1,1,1
1533,1,300illion,1�984�318.88,1502185.94,1,1,0
1534,1,73936621.81,3925323.7,2348515.88,1,1,1
1535,9,0,1487882.72,148188272,0,0,1
1536,14,3006948,89082,69533,1,1,1
1537,5,14163492,115087.17,103769.71,1,1,1
1538,7,/A,1310498-79,1225555.99,1,1,1
1539,1,600,700,350,1,1,1
1540,5,20418748.4,0,146434,1,0,0
1541,4,75638000,819839.99,512016.92,0,0,1
1542,1,180456214,117685287.4,117685287.4,1,0,1
1543,4,70000000,155040,2845210,1,1,1
1544,1,40000000,1511800,1078200,1,1,1
1545,18,3407608826,38161593.26,35926539.23,0,1,0
1546,10,0,0,0,1,1,1
1547,1,300000,24017.8,24017.8,1,1,1
1548,15,698505400,14723260,13464700,1,0,1
1549,2,402.6,0,1600,1,1,1
1550,2,408108,399588,34009,1,1,1
1551,221,150000,25000,17500,1,1,1
1552,18,2.1MIO,89280,89280,0,1,1
1553,22,1200000,45401.41,50345,1,1,1
1554,3,10950000,0,98157.85,1,1,1
1555,2,75864,6322,6322,1,1,1
1556,1,2500000,81500,80500,1,1,1
1557,1,10940043.35,0,38130,1,1,1
1558,33,1100000,30500,30500,1,1,0
1559,6,1026000,34154,34154,1,0,1
1560,1,179059.5,63798,41322.15,1,1,1
1561,4,4276993.17,609874.36,403032,1,1,1
1562,2,0,43794,29468,1,1,1
1563,3,196163147,1240510.02,972123.12,0,0,1
1564,1,1751641,43758.82,24107.04,0,0,1
1565,3,3100000,43453.58,33083.58,0,1,0
1566,2,122145.36,122145.36,10178.78,1,1,1
1567,2,8059685.56,3814053.27,1926148.68,1,1,1
1568,1,10907373.83,171864.5,180951.61,0,0,1
1569,9,4702076,85277,85276.5,1,1,0
1570,47,298997.8,6660,6709.49,0,1,1
1571,17,0,350,0,0,1,1
1572,17,0,305000,305000,1,1,1
1573,8,27M,19160,18815.12,0,1,1
1574,5,6787741.98,421078.56,418500,1,0,1
1575,1,1804708,43610.5,41463,1,1,1
1576,8,300000,A,0,1,0,1
1577,8,6500000,65488.71,53476,1,1,1
1578,13,12025,36072,3006,0,1,1
1579,24,0,0,0,1,1,1
1580,3,5100000,115121,115121,0,0,1
1581,1,1727470.77,381154,271080,1,1,1
1582,2,1500000,54800,4215,1,0,0
1583,1,59208,59208,4934,1,1,1
1584,1,8160784.2,0,1754112.13,1,0,1
1585,1,0,371924,371924,0,0,1
1586,62,121800,10150,10150,0,0,1
1587,2,0,0,1438800,1,1,1
1588,6,444800,562,20200,0,1,0
1589,1,146652,149892,12221,1,1,1
1590,1,420000,82334.4,81600,0,1,0
1591,8,320000,4000,4000,1,1,0
1592,3,615.6,5648.7,5700,1,1,1
1593,2,0,273460,273460,0,1,1
1594,2,0,20555,16000,0,0,1
1595,10,151MIL,8941717.8,7546882.32,0,0,1
1596,3,2107602,391131.7,391131.7,1,1,1
1597,1,none,0,0,0,0,1
1598,1,9600,0,800,1,1,1
1599,1,231000000,3553916.89,2146931.59,0,0,0
1600,69,7.6M,216598,215820,0,0,1
1601,6,5.1MILLIO,293.36,32695,0,0,0
1602,6,10000000,47069,47069,0,1,1
1603,3,35000000,949083.45,670370.76,0,0,0
1604,1,11286722,796180.51,741437.89,1,1,1
1605,5,283400,71300,7200,0,0,1
1606,2,2618640,127656.8,106157,1,1,1
1607,10,160000,1099,4000,0,1,0
1608,19,0,0,0,1,1,1
1609,4,1205139,14340.57,14340.57,1,1,1
1610,1,0,10000,12000,0,1,0
1611,1,0,299450,0,1,1,1
1612,1,580600-00,169200,14100,0,0,1
1613,1,54000,/A,4500,1,1,1
1614,1,0,206531.67,168057.39,1,1,1
1615,1,10457888.78,501165.13,284061.62,1,1,1
1616,57,216,/A,1000,1,1,1
1617,18,109200,0,9100,1,0,1
1618,4,560000,1800,1800,1,1,0
1619,4,0,0,300,1,1,1
1620,1,3142120.69,334715.74,189048,1,1,1
1621,4,0,0,0,0,1,1
1622,1,110000,28750,28750,1,1,1
1623,1,45000,1800,1800,1,1,1
1624,15,117600,9800,9800,1,1,1
1625,22,YES,0,0,1,1,1
1626,11,1000000,0,15200,1,1,1
1627,1,12000,/A,1000,1,1,1
1628,4,130000,5045,5000,1,0,1
1629,4,12000,12000,12000,1,1,1
1630,2,1000000,342,22500,1,1,1
1631,2,0,0,0,1,1,1
1632,12,0,0,1200,0,0,1
1633,4,0,23400,1950,1,0,1
1634,18,4708000,116469.97,116469.97,0,0,1
1635,7,5000,10000,5000,1,1,0
1636,26,6116525.5,334836.5366,264924.91,1,1,0
1637,2,1000000,65400,6750,1,1,1
1638,1,1904000,26094,26094,0,0,1
1639,1,12000000,1000000,1000000,0,0,0
1640,2,95000,4000,4000,1,1,0
1641,1,9413857,223659.6,196759,1,1,1
1642,1,0,0,78900,0,0,1
1643,1,250000,7000,7000,1,1,0
1644,279,506327.94,124154,10312.75,1,1,1
1645,12,120000,2500,2500,1,1,0
1646,14,50000,7000,1000,0,1,1
1647,5,9000,600,9900,0,1,1
1648,2,7200,7200,600,1,0,1
1649,4,480000,18000,16000,1,1,1
1650,5,300000,24000,2000,0,0,1
1651,12,18925474,435077.14,363376.14,1,0,1
1652,19,100000,2000,2000,1,1,0
1653,14,100000,3700,3700,1,1,0
1654,4,n/c,17677.68,17520,0,0,1
1655,1,46.056.00,0,3850,1,1,1
1656,25,0,0,0,1,1,1
1657,16,372000,2663.13,3500,1,1,1
1658,11,3000000,111600,111600,1,0,1
1659,14,140000,22800,4000,1,1,1
1660,7,500000,15000,1200,1,1,1
1661,1,850000,0,0,1,1,1
1662,1,17122519,7023913.22,3526748.18,0,0,1
1663,10,1380992.73,41800,384198,1,1,1
1664,2,20000000,203658.12,193050,0,1,1
1665,1,300000,141600,7400,1,1,1
1666,2,137592,153192,11466,1,1,1
1667,18,12880948,2951281.18,1471126,0,0,1
1668,40,3822107.29,381342.72,377940,1,0,1
1669,2,631.8,631.8,631.8,1,1,1
1670,2,30000,300,300,1,1,1
1671,1,250000,0,36000,1,1,1
1672,30,80000,5000,3000,1,1,1
1673,4,0,96800,96800,1,1,1
1674,3,NULL,134600,134600,1,1,1
1675,1,33Mil,257000,200000,1,1,1
1676,2,293812.24,5338.98,3900,1,1,1
1677,1,40000000,1190000,966000,0,0,1
1678,1,0,0,0,1,1,1
1679,2,0,0,1980,1,1,1
1680,10,5364725.2,129718.64,119130.07,1,0,0
1681,5,260000,5000,5000,1,1,1
1682,5,6453838,814388,808937.28,1,1,1
1683,6,489720,489720,40810,1,1,1
1684,5,currentlynon,117590,117590,1,0,1
1685,1,0,0,0,1,1,1
1686,5,0,38773,38773,1,1,0
1687,2,45000,0,2400,1,0,1
1688,2,0,113400,113400,1,1,1
1689,1,0,0,3500,0,1,1
1690,8,95000,1000,1000,1,1,0
1691,23,48000,48000,48000,1,1,1
1692,18,180000,16400,2400,1,1,1
1693,3,3818691,962451.1,956572.26,1,1,1
1694,1,240000,20000,20000,1,1,1
1695,1,0,25000,25000,1,1,1
1696,3,150000-250000,25000,3500,1,1,1
1697,6,0,222000,222000,1,1,1
1698,1,27504,0,16800,1,0,1
1699,1,12000,0,1000,1,1,1
1700,4,4000000,110000,88250,1,1,1
1701,287,100000,42000,42000,0,1,1
1702,9,84000,52500,7000,1,0,1
1703,29,400000,0,5700,0,0,1
1704,10,0,1614.4,1600,0,1,1
1705,17,36000,3600,3600,1,0,1
1706,1,58000,3600,3600,1,0,1
1707,2,400000,35500,35500,1,1,1
1708,1,72201.18,18000,4500,1,1,1
1709,3,36000,3000,3000,1,1,1
1710,2,112000,1000,1000,1,1,0
1711,3,500000,0,17250,0,0,1
1712,3,0,0,172500,0,0,1
1713,18,105000,7900,7900,1,1,1
1714,1,3500000,0,42000,1,1,1
1715,23,45illion,760338.68,495227.81,1,1,1
1716,7,0,422280,422280,0,0,1
1717,3,5000000,69395.36,80000,1,1,1
1718,4,0,0,21900,1,1,1
1719,72,1080000,4400,4400,1,1,1
1720,15,60000,17400,5400,1,1,1
1721,21,0,0,90500,1,1,1
1722,5,6000,3600,3600,0,0,1
1723,1,660000,35000,25000,1,1,1
1724,14,0,1087,5000,0,1,1
1725,61,1680000,23837,23837,1,1,1
1726,3,0,0,0,1,1,1
1727,6,0,0,0,1,1,1
1728,4,18000,9600,800,1,1,1
1729,7,384000,22250,22250,0,1,1
1730,1,12000,12000,1000,1,1,1
1731,1,0,0,3000,0,0,1
1732,1,0,0,0,1,1,1
1733,1,24000,0,2000,1,1,1
1734,1,110000,56400,1006.2,1,1,1
1735,10,0,1500,1500,1,1,1
1736,5,0,0,28700,1,1,1
1737,1,0,2000,2000,1,1,1
1738,1,36000,3000,3000,0,0,1
1739,1,0,2000,2000,1,1,1
1740,1,1449960,120830,120830,1,1,1
1741,141,0,595175.36,534675.36,1,1,1
1742,9,43080,0,3590,1,1,1
1743,3,0,2220407,2220407,1,0,0
1744,2,50000,800,19200,1,1,1
1745,2,350000,36000,3600,1,1,1
1746,2,403200,369777,176400,1,0,1
1747,3,24000,2000,2000,0,1,1
1748,3,2.5illion,324,30650,1,1,0
1749,1,747662,40000.00Feb2020,30502,0,0,1
1750,19,0,0,0,0,1,1
1751,84,940000,0,11000,1,1,1
1752,3,8000000,500,15000,1,1,1
1753,7,25MILLIODOLLARS,17800,17800,1,1,1
1754,4,11064167.72,103790,92560,1,0,1
1755,6,54000,54000,54000,1,1,1
1756,2,300000,40000,30000,1,1,1
1757,18,0,1158829.26,5020529.69,1,1,1
1758,6,0,4584884.16,870302.31,1,1,1
1759,1,\A,27,1500,1,1,1
1760,6,110000,152400,12700,1,1,1
1761,2,50000,45000,17500,0,0,1
1762,7,115500,10520,8420,1,1,1
1763,2,0,0,0,0,0,1
1764,16,240000,49400,240000,1,0,1
1765,33,3893059,568856.69,436200,1,1,1
1766,3,16285540,665013,457892,1,1,1
1767,1,5800000,98719.2,98719.2,1,1,1
1768,1,120MILLIO,533907.99,496294,1,1,0
1769,3,164082,77090,77090,0,0,1
1770,3,0,0,3000,1,1,1
1771,2,70000,0,25200,1,0,1
1772,1,1849170,47475.95,36600,0,0,1
1773,1,2000000,117186.04,116614.02,1,1,1
1774,23,2500000,384405.96,370645,1,1,1
1775,7,350000,0,19000,0,0,1
1776,6,9694093,112335,112335,0,1,0
1777,7,60000000,549042,447503,1,0,0
1778,6,700000,8500,8500,0,1,0
1779,1,1000000,0,0,0,0,1
1780,1,1700000,36534,36015,1,1,1
1781,107,3000000,8900,8900,0,0,1
1782,7,9345000,154343.26,120646.46,1,1,1
1783,4,0,222015.07,222015.07,1,1,0
1784,6,0,329865,3300,0,0,1
1785,5,/A,/A,0,0,0,1
1786,6,2500000,24152,40000,1,1,1
1787,3,13454949.37,8309324,6148047,1,1,0
1788,16,10434956,84637.97,79320.23,0,0,1
1789,2,2700000,108000,9000,1,1,1
1790,3,150000.00-200000.00,36000,300000,1,1,1
1791,1,0,21289.9,21200,1,1,1
1792,6,750000,60000,60000,1,1,1
1793,1,25996865.7,269943.47,243688.47,1,1,1
1794,1,6552000,739956.48,705395.6,1,1,1
1795,1,1600000,57876,46900,1,1,1
1796,3,1400000,46928.4,46928.4,1,1,1
1797,113,3257020,130428.5,59101.09,1,1,1
1798,9,21726051,1949326.69,19486.35,0,0,1
1799,1,20000000,247608.32,207075.92,1,1,1
1800,4,30000,0,2500,1,1,1
1801,3,72000,13000,8000,1,0,1
1802,2,15000,800,700,1,1,1
1803,1,0,0,0,0,0,1
1804,57,34800,0,2900,1,1,1
1805,15,5illion,284.2,10240,1,1,1
1806,2,Salaryearner,n/a,1100,0,1,1
1807,1,9261541,235964,72198,1,1,1
1808,5,ZERO-See30023141/gei,60614.73,50035.96,0,0,1
1809,2,76800,0,6400,1,1,1
1810,1,0,0,0,0,1,1
1811,2,50000,45000,1500,0,0,0
1812,1,6676934.31,121282.93,120782.39,0,0,1
1813,1,2017931,31830,19500,1,1,1
1814,27,1200000,30000,331356,1,1,1
1815,121,2718809,0,0,1,1,0
1816,20,200000.a,60000.a,60000,1,0,1
1817,15,168000,14000,14000,1,1,1
1818,10,1535400,21453.8,21453.8,1,1,0
1819,3,50000,100000,25200,1,0,1
1820,5,45000,0,5600,1,1,1
1821,4,1632000,12000000,49153.6,1,1,1
1822,2,6000000,2121665.28,759936,1,1,0
1823,2,21216,276250,255000,1,1,1
1824,12,0,20000,1500,1,1,1
1825,1,170000,10050.11,10050.11,0,0,1
1826,2,3248961,149374,39608,1,1,1
1827,3,30000,no,2800,1,1,1
1828,15,54000,12000,12000,1,1,1
1829,3,18500,10350,3000,1,1,1
1830,7,7200000,250000,250000,1,1,1
1831,3,5000000,188992.71,169070,1,1,1
1832,1,1700000,367664,201389,1,0,0
1833,35,93600,/A,7800,1,1,1
1834,8,72000,31200,2600,1,1,1
1835,8,300000,10000,10000,1,1,1
1836,6,213600,25000,17800,1,0,1
1837,8,42240,952800,59400,1,1,1
1838,6,30000,15000,9600,1,1,1
1839,3,950000,0,522000,0,0,1
1840,6,23970000,196005.6,199514.13,1,1,1
1841,2,0,0,0,1,1,1
1842,2,18000.00PEREMPLOYEE,0,1500,1,1,1
1843,2,0,/A,1500,1,0,1
1844,2,47000,6000,72000,1,0,1
1845,3,/A,/A,31200,0,0,1
1846,3,420000,35000,16700,0,1,1
1847,2,205728,17500/Month,17500,1,1,1
1848,2,160000,48000,4000,1,1,1
1849,1,50000,20000,3600,0,1,0
1850,1,344078,60000,60000,1,1,1
1851,2,/A,62400,62400,1,1,1
1852,1,/A,1200,1200,0,0,1
1853,7,14400,14400,1200,0,0,1
1854,43,0,0,0,0,0,1
1855,85,218400,/A,18200,1,1,1
1856,4,0,0,0,1,1,1
1857,13,650000,15639.5,15500,1,0,1
1858,18,2500000,13337.5,6280,1,1,1
1859,5,0,25314.33,25314.33,1,1,1
1860,1,0,0,0,0,1,1
1861,4,300001-3000000,427996.8,420000,0,0,1
1862,8,48000,4000,4000,0,0,1
1863,6,0,0,0,1,1,1
1864,12,99600,3400,3400,0,1,0
1865,4,0,0,0,0,0,1
1866,2,24000,0,2000,1,1,1
1867,2,100000,0,0,0,0,1
1868,1,0,0,0,0,0,1
1869,2,Lossesfortheast3financialyears,40597.89,26842.5,1,1,1
1870,1,680176,12656,12656,1,1,1
1871,1,2500000,27340.5,27300,1,1,1
1872,1,5000,6000,6000,0,0,1
1873,24,14949198.34,10900,10900,1,1,1
1874,9,48000,1000,4000,0,0,1
1875,1,50000,100000,26400,1,0,1
1876,3,36000,3000,3000,1,1,1
1877,2,385000,23000,15000,1,0,1
1878,1,12000000,516017.26,381501.62,1,0,1
1879,9,3500000,749922,749922.24,1,0,0
1880,16,15000,1000,2000,1,1,1
1881,1,21600,21600,0,1,1,1
1882,4,0,2000,2000,0,1,1
1883,1,0,2000,2000,0,1,1
1884,4,30000,15000,3600,1,1,1
1885,1,764952.8,0,51436,1,1,1
1886,23,0,0,56669.05,1,1,1
1887,46,42000,3500,3500,1,1,1
1888,10,650000,3550,42600,0,0,1
1889,8,693922.29,O,10000,1,1,1
1890,2,5146794.8,485398,40449.83,1,1,1
1891,5,56500,23600,12000,1,1,1
1892,2,50000,20000,12000,1,1,1
1893,1,24000,/A,2000,1,1,1
1894,1,13000000,174000,162000,1,1,1
1895,25,0,0,35000,1,1,1
1896,7,0,0,46700,1,1,1
1897,20,320000,3800,3800,1,1,1
1898,6,0,34283.63,33698.89,1,1,1
1899,3,27504,16800,16800,1,1,1
1900,8,50000,3600,300,1,0,1
1901,10,20M,1265704,207928,1,1,1
1902,1,3000,5800,1500,1,1,1
1903,5,60000,8800,2500,1,0,1
1904,2,0,0,0,0,0,1
1905,30,28000000,259526.56,185697.83,1,1,1
1906,3,20000,1600,1600,1,1,1
1907,40,18000,o,1500,1,1,1
1908,6,n/a,2600,2000,1,1,1
1909,24,0,25000,6000,0,1,1
1910,1,0,0,0,0,0,1
1911,2,none,Basic+Transort,200,0,1,1
1912,1,12568976,0,1467000,1,1,1
1913,4,23000000,(Monthly)217280.01,217280.01,1,1,1
1914,13,1570339,0,12300,1,1,1
1915,1,0,0,0,0,1,1
1916,2,2280000,61328.34-Aril2020,366000,1,1,1
1917,5,0,0,0,0,0,1
1918,22,0,1750,1750,1,1,1
1919,15,0,0,0,0,0,1
1920,7,260000,195000,135000,1,1,1
1921,16,800000,58721.44,6200,0,0,1
1922,14,90000,35950,8502,1,0,1
1923,3,0,0,13860,0,0,1
1924,1,0,0,0,1,0,1
1925,13,88000,44000,44000,0,1,1
1926,1,2356,10000,3600,1,1,1
1927,1,120000,25000,6500,0,1,0
1928,3,5526.57,41950,41950,0,0,1
1929,1,0,1500,1500,1,1,1
1930,1,0,1500,1500,1,1,1
1931,53,0,0,0,1,1,1
1932,15,650000,5200,5200,0,1,1
1933,10,0,0,171600,1,1,1
1934,18,800000,31725,31725,1,0,0
1935,1,100000.00/onth,0,0,1,0,0
1936,14,3597357.9,92500,92500,1,1,1
1937,1,11988051.48,102000,91000,1,1,1
1938,3,one,Basic+Transort,1300,0,1,1
1939,1,169041.36,14086.78,14086.78,1,1,1
1940,3,87120,0,7260,1,1,1
1941,2,Febyearend,0,18775,1,1,1
1942,8,2666825,264060,264060,0,0,1
1943,2,36000,3600,3600,0,0,1
1944,1,9000000,296000,296000,1,1,0
1945,1,146100,12175,12175,1,1,1
1946,1,20000,0,4500,1,1,1
1947,1,300000,900,3600,1,1,1
1948,3,500000,34560,169392,1,1,1
1949,13,0,13495,363200,1,1,1
1950,5,0,0,0,1,1,1
1951,3,150.000.00,50.000.00,32400,0,1,1
1952,1,80000,168000,576000,1,1,1
1953,1,3000,6108,6000,1,1,1
1954,1,120000,15171,15171,0,0,1
1955,6,63000000,513094.04,444936.26,1,1,1
1956,15,5000000-00,/A,51172,1,1,1
1957,4,12Millio,75000,75000,1,1,1
1958,2,300000,18000,18000,1,1,1
1959,6,630000,0,8300,1,0,1
1960,1,0,0,0,0,1,1
1961,1,12000,216,1000,0,0,1
1962,2,2842474.95,7000,7000,0,0,1
1963,1,50000,6000,4800,0,1,0
1964,1,48000,4000,4000,1,1,1
1965,1,175200,414096.6,14600,0,0,1
1966,1,26400,/A,2200,1,1,1
1967,126,25000,7200,7200,0,1,1
1968,16,100000,16800,16800,0,1,0
1969,3,60000,0,5000,1,1,1
1970,8,120000,7200,7200,1,1,1
1971,3,0,1100,1100,0,1,1
1972,3,0,0,1800,0,0,1
1973,2,930187.76,0,197805.76,1,1,1
1974,1,2086475.06,56778.13,35720,1,0,1
1975,1,0,0,0,1,0,1
1976,173,IL,9340.68,8992,1,1,1
1977,13,0,0,0,0,0,1
1978,16,0,200,0,0,1,1
1979,6,0,0,0,0,0,1
1980,1,0,0,0,0,0,1
1981,1,0,0,0,0,0,1
1982,1,22800,0,1900,0,0,1
1983,7,0,0,0,0,1,1
1984,6,240000,4100,2050,1,1,1
1985,71,0,0,0,0,0,1
1986,1,18000,/A,1500,0,0,1
1987,21,3600,6000,300,1,1,1
1988,1,8000,3600,300,1,1,1
1989,1,300000,4000,4000,0,1,1
1990,60,450000,64697.15,50500,1,1,1
1991,18,0,0,400,0,1,1
1992,18,13000000,962493,224330,1,1,1
1993,3,50042875,773782.11,579686.12,1,1,1
1994,4,45000,/A,4500,1,1,1
1995,1,6317819.37Mar19-Feb20excludingVAT,73116.37+/-eronth,62584,1,1,1
