ID,No of employee,Annual turnover,TCTC,Basic Salary,Cash Injection,Contrib Waiver,Affected Employee
230,4,358000,49000,21000,1,1,1
231,1,450000,1500,1500,0,1,1
232,12,40000,10000,7000,1,1,1
233,3,300000,61800,5150,1,1,1
234,1,0,1600,19200,1,0,0
235,12,6000000,116897.24,112141,0,0,1
236,12,1007128,576486,19000,1,1,1
237,5,240000,27500,20000,1,1,1
238,3,0,3900,3900,0,1,1
239,3,300000,2000,2000,1,1,1
240,2,1.5,35592.11,43806.38,0,0,1
241,1,0,270400,270400,1,1,1
242,34,300000,0,30521.05,1,1,1
243,11,0,55360,52819,1,1,1
244,2,4785780,75800,75800,1,1,0
245,8,3977256,681120,62125.1,0,0,0
246,12,905325,19070,18900,1,1,1
247,4,5631020,347000,347000,1,1,1
248,1,9508775,309382.96,156191.62,1,0,1
249,2,68000,15000,8700,1,1,1
250,1,0,0,452629,1,0,1
251,2,50000,279000,23500,1,1,1
252,1,10800000,541355,541355,1,0,1
253,3,30000,/A,30000,0,0,1
254,9,300000,54000,4500,0,1,0
255,6,3000000,780000,56750,1,1,1
256,4,13000000,0,252000,1,0,1
257,19,2051419,1068000,89000,0,0,0
258,11,0,0,0,1,1,1
259,1,15000,400,4000,1,1,1
260,5,1008500,0,24300,0,0,1
261,1,3776498.67,17666.66,17500,0,1,0
262,2,1000000,7000,7000,0,1,1
263,3,207550,10150,10150,1,1,1
264,1,10761625,336004.19,222019.94,1,1,1
265,2,300000,41100,11000,1,1,1
266,82,/AWeonlybeganoeratingnoveber2019,4162.2,4200,1,1,1
267,4,1282476,80250,72400,0,1,1
268,13,24000,355500,2000,0,1,0
269,3,2641800,73188,61500,1,1,1
270,1,10000,0,5500,1,0,1
271,5,14730,158200,158200,1,1,1
272,20,6000,/A,300,1,1,1
273,44,0,0,500,1,1,1
274,22,0,0,7915,1,0,1
275,8,146850,2000,2000,1,1,1
276,2,4200000,264400,246000,1,1,1
277,4,0-300000,32400,24000,1,1,1
278,3,8300000,43224.87,39300,1,1,1
279,2,10000,5626,1850,0,0,0
280,2,1466000,75000,75000,0,0,1
281,1,140000,4000,3000,1,1,1
282,17,0,0,91789.2,0,1,1
283,3,1800000,55295.59,55295.59eronth,0,0,1
284,45,300000,25000,10000,1,1,1
285,6,301012,22350,24500,0,1,0
286,7,27162174,0,67000,1,1,1
287,15,50000,4700,4900,1,1,1
288,1,81000,66648,66000,1,1,1
289,1,102000,0,8500,0,0,1
290,1,6000,500,300,1,1,1
291,20,48000,3600,3600,1,0,1
292,6,n/a,26343.6,20400,0,0,1
293,1,6-,11200,12450000,1,1,1
294,10,56000,11000,500,1,1,1
295,4,600000,one,42000,1,1,1
296,1,108,99,1500,0,1,0
297,1,/A,/A,1800,1,1,1
298,3,40000,0,0,1,1,1
299,3,0,0,500,1,1,1
300,5,1000000,0,27239,1,1,1
301,1,300000,0,4500,1,1,1
302,7,2368863.6,30500,30500,0,0,1
303,1,75000,10000,5000,1,1,1
304,343,24000,2000,4000,0,1,1
305,29,0,5200,1200,1,1,1
306,31,174000,0,12800,1,1,1
307,5,48750,1400,1400,1,0,1
308,1,2391411.83,149350,147600,1,1,1
309,1,100000,5760,48000,1,1,1
310,4,36000,15000,1000,0,1,1
311,16,0,27667,27666.5,1,1,0
312,5,480000,21400,21400,0,0,1
